Sl No	Question	Answer	Reference
3172	Why is a man not to have sexual relations with a woman during her menstruation?	A man may not have sexual relations with a woman during her menstruation because during that time she is unclean. 	Leviticus 18:19-20
3173	What may the people not sacrifice to Molech?	The people may not sacrifice their children to Molech. 	Leviticus 18:21
3174	What two sexual relations do verses 22 and 23 not allow?	Verses 22 and 23 do not allow sexual relations with other men or animals. 	Leviticus 18:22
3175	What two sexual relations do verses 22 and 23 not allow?	Verses 22 and 23 do not allow sexual relations with other men or animals. 	Leviticus 18:23-27
3176	What happened to the people who lived there before the people of Israel?	The people who lived there before the people of Israel defiled the land and the land vomited them out. 	Leviticus 18:28
3177	What will happen to any of the people or the foreigners who live among them who do any of these detestable things?	Any of the people who do any of these detestable things will be cut off from among their people. 	Leviticus 18:29-30
3178	What two things did Yahweh tell the people they must do?	Yahweh told the people that they must respect their father and mother and keep his Sabbaths. 	Leviticus 19:3
3179	What two things did Yahweh tell the people they must do?	Yahweh told the people that they must respect their father and mother and keep his Sabbaths. 	Leviticus 19:4-9
3180	Why did Yahweh tell the people to leave the corners of their fields unharvested and to leave some of the grapes on the vine or that fell on the ground?	The unharvested grain and grapes must be left for the poor and the foreigner. 	Leviticus 19:10-14
3181	To whom should the people not show favoritism?	The people should not show favoritism to someone because he is poor or rich, but instead judge the neighbor righteously. 	Leviticus 19:15-17
3182	What are the people to do instead of taking vengeance or holding a grudge?	Instead of taking vengeance or holding a grude, the people are to love their neighbor as themselves. 	Leviticus 19:18
3183	What must the people do when planting seeds in the field?	When planting in the field, the people must not plant two kinds of seed in the same field. 	Leviticus 19:19-24
3184	How long must a planter of a fruit tree wait before he can eat the fruit himself?	A planter of a fruit tree must wait until the fifth year before he can eat the fruit of the tree himself. 	Leviticus 19:25-26
3185	What pagan habits were the people told not to follow?	The pagan habits the people were told not to follow are shaving the sides of the head and cutting off the edges of the beard. 	Leviticus 19:27-31
3186	Who did Yahweh tell the people to arise before and honor?	Yahweh told the people to rise before the gray-headed person and honor the old man. 	Leviticus 19:32-33
3187	Why did Yahweh say that the people of Israel should love the foreigner as they love themsleves?	Yahweh told the people to love the foreigner because the people of Israel were once foreigners in the land of Egypt. 	Leviticus 19:34-37
3188	What would happen to anyone among the people of Israel who gave their child to Molech?	Anyone who gave their child to Molech would be put to death. 	Leviticus 20:2
3189	What would Yahweh do to the man if the people did not put him to death?	If the people did not put him to death, Yahweh says he would cut him off from his people. 	Leviticus 20:3-5
3190	To whom did Yahweh tell the people not to turn?	Yahweh told the people not to talk with those who talk to the dead or to the spirits. 	Leviticus 20:6-12
3191	What was the result of a man having sexual relations with another man?	A man who had sexual relations with another man had done something detestable and both would be put to death. 	Leviticus 20:13-14
3192	If a man or woman had sexual relations with an animal, what would be done with them?	The man, the woman, and the animal would all be put to death. 	Leviticus 20:15
3193	If a man or woman had sexual relations with an animal, what would be done with them?	The man, the woman, and the animal would all be put to death. 	Leviticus 20:16-23
3194	How did Yahweh describe the land that he had given the people of Israel ?	Yahweh called the land "a land of milk and honey." 	Leviticus 20:24-27
3195	For the death of which person was a priest allowed to make himself unclean?	Priests were only allowed to make themselves unclean for very close relatives. 	Leviticus 21:2
3196	For the death of which person was a priest allowed to make himself unclean?	Priests were only allowed to make themselves unclean for very close relatives. 	Leviticus 21:3-4
3197	What restrictions were places on the priests concerning their hair and beards?	Priests were not allowed to shave their heads or the corners of their beards. 	Leviticus 21:5-8
3198	What would happen to a priest's daughter who defiled herself by becoming a prostitute?	A priest's daughter who defiled herself by becoming a prostitute would be burned. 	Leviticus 21:9-10
3199	What must a high priest avoid even if it is his father or mother?	A high priest must not go anywhere there is a dead body present, even if it is his father or mother. 	Leviticus 21:11-13
3200	What kind of woman must the priest not marry?	The priest must not marry a widow, a divorced woman, or a woman who is a prostitute. 	Leviticus 21:14-17
3201	What kind of man did Yahweh not want to approach him to perform the offerings?	Yahweh did not want any man with a bodily defect to approach him. 	Leviticus 21:18-24
3202	What does Yahweh say will profane his holy name?	Yahweh says that any one who is unclean for any reason and approaches the holy things will profane his holy name. 	Leviticus 22:2
3203	What does Yahweh say will profane his holy name?	Yahweh says that any one who is unclean for any reason and approaches the holy things will profane his holy name. 	Leviticus 22:3-5
3204	What must a priest do when he touches anything that makes him unclean?	He must bathe in water and remain unclean until evening. 	Leviticus 22:6-8
3205	What might happen to priests who do not follow Yahweh's instructions?	They would be guilty of sin and could die for profaning Yahweh. 	Leviticus 22:9
3206	Who are the only people who can eat anything that is holy?	The only persons who can eat anything that is holy are the priest and his family, and slaves he may have bought. 	Leviticus 22:10
3207	Who are the only people who can eat anything that is holy?	The only persons who can eat anything that is holy are the priest and his family, and slaves he may have bought. 	Leviticus 22:11-12
3208	Can a priest's daughter who has married someone who is not a priest eat the holy food?	No, unless she is divorced or widowed and returns to live in her father's house. 	Leviticus 22:13
3209	What must a man do who eats holy food without knowing it?	If a man eats holy food without knowing it, he must repay the priest and add one-fifth to it. 	Leviticus 22:14-17
3210	What kind of animal would be accepted as a sacrifice?	It must be a male animal without blemish from the cattle, sheep, or goats. 	Leviticus 22:18-19
3211	What is the most important requirement for any animal that is to be sacrificed to Yahweh?	Any animal sacrificed to Yahweh must be unblemished. 	Leviticus 22:20-25
3212	How old must a calf, sheep, or goat be to be offered as a sacrifice to Yahweh?	A calf, sheep, or goat must be at least eight days old to be offered as a sacrifice to Yahweh. 	Leviticus 22:26-29
3213	When must a thank offering be eaten?	It must be eaten on the same day that it is sacrificed. 	Leviticus 22:30-33
